task_id,composition,formation_energy_per_atom
mp-1183119,Ac3Br,-0.12345269000000016
mp-1183090,Ac3Cd,-0.04330112624999982
mp-1183105,Ac3Ce,0.13519490000000012
mp-1183113,Ac3Cl,-0.280525527065
mp-1183075,Ac3Cr,0.4379959849999997
mp-1183081,Ac3Dy,0.05425589250000051
mp-1183091,Ac3Er,0.05911333375000005
mp-1183271,Ac3Eu,0.06493502249999937
mp-985291,Ac3Hg,-0.06581121500000009
mp-1183111,Ac3Ho,0.07429485624999987
mp-1183096,Ac3I,-0.1384393049999999
mp-985305,Ac3In,-0.15330280458333334
mp-1183095,Ac3La,0.02515254500000008
mp-1183087,Ac3Lu,0.06460711499999937
mp-1183097,Ac3Mo,0.7028327225000002
mp-1183104,Ac3Nb,0.5613462174999997
mp-985554,Ac3Nd,0.05288001562499911
mp-1183280,Ac3Np,0.4845168553125001
mp-1183126,Ac3Pa,0.4032404999999999
mp-1183109,Ac3Pm,0.0531207456249998
mp-985302,Ac3Pr,0.05041412874999995
mp-985561,Ac3Sc,0.11988989500000002
mp-1183122,Ac3Si,-0.011233933750000702
mp-985547,Ac3Sm,0.059803434375000464
mp-861939,Ac3Sn,-0.31267243374999953
mp-1183099,Ac3Tb,0.06919524916666653
mp-985303,Ac3Th,0.1558010737500002
mp-1183108,Ac3Ti,0.3958454708333328
mp-985506,Ac3Tl,-0.09108673375000008
mp-1183084,Ac3Tm,0.06150318999999984
mp-1183094,Ac3V,0.4977988725000007
mp-1183083,Ac3Y,0.046614550000000136
mp-1183059,Ac3Yb,0.02616481999999997
mp-1183092,Ac3Zn,0.06631279624999964
mp-1183058,Ac3Zr,0.2662007449999999
mp-866199,AcAg,-0.2574092183333332
mp-1183065,AcAg2Pb,-0.30151255916666697
mp-862890,AcAg2Sn,-0.35183036541666635
mp-865950,AcAg3,-0.20137614541666604
mp-862972,AcAgAu2,-0.5569759016666662
mp-862873,AcAgHg2,-0.3269659816666668
mp-867311,AcAgTe2,-0.8253899641666669
mp-862617,AcAl3,-0.3629472316666664
mp-1183115,AcAlO3,-3.704761118083333
mp-867838,AcAu3,-0.6875714004166662
mp-1183052,AcBO3,-2.4893648854166672
mp-866016,AcBiAu2,-0.6561155579166664
mp-27972,AcBr3,-2.0981074741666665
mp-30274,AcBrO,-3.2277003859722213
mp-867890,AcCd3,-0.2694183716666667
mp-867338,AcCdAg2,-0.2269196379166667
mp-1183071,AcCdAu2,-0.6226577554166668
mp-864644,AcCdHg2,-0.40730554041666656
mp-861880,AcCdRh2,-0.35286284291666714
mp-1183110,AcCe3,0.14829535833333374
mp-1183117,AcCeMg2,0.04435479833333389
mp-27971,AcCl3,-2.924151706611667
mp-30273,AcClO,-3.5869425687255565
mp-866647,AcCrO3,-3.1390357860833324
mp-1183114,AcCu3,-0.0766156416666659
mp-1232311,AcCuO2F,-2.6477509330713325
mp-864606,AcCuO3,-2.4361154740833326
mp-1183062,AcDy3,0.06187481083333335
mp-985300,AcEr3,0.07754138708333347
mp-1183125,AcEu3,0.05582891583333272
mp-1006278,AcEuAu2,-0.7721959704166661
mp-1183268,AcEuMg2,-0.06548736041666636
mp-1183124,AcEuZn2,-0.249671182916666
mp-985278,AcF3,-4.435178283809166
mp-864241,AcFeO3,-2.883668354083333
mp-867815,AcGa3,-0.5231856954166663
mp-1183053,AcGaO3,-3.0764349840833334
mp-861884,AcGaTe2,-0.9400896241666667
mp-862665,AcGe3,-0.4373479579166668
mp-24147,AcH2,-0.6573549713022219
mp-861605,AcH3,-0.6494722856316661
mp-862289,AcHg3,-0.4089938891666665
mp-861966,AcHgAu2,-0.6007452616666669
mp-1183060,AcHgRh2,-0.3148095616666664
mp-1183055,AcHgTe2,-0.8287061916666665
mp-861867,AcI3,-1.5182595216666668
mp-867297,AcIn3,-0.41245669416666697
mp-1183121,AcInAg2,-0.28497812499999986
mp-862860,AcInAu2,-0.6523193200000001
mp-867321,AcInHg2,-0.4320218425000002
mp-861460,AcInTe2,-0.9779695425000005
mp-1183049,AcLa,0.060162506666666886
mp-985059,AcLa3,0.030488620833333258
mp-1183118,AcLaCd2,-0.2914639666666665
mp-1183101,AcLaMg2,-0.07627838416666677
mp-866286,AcMg,-0.07388928333333311
mp-1184231,AcMg149,-0.015938604777777716
mp-984785,AcMg3,-0.046229721666666716
mp-864996,AcMg5,-0.06734633111111066
mp-865979,AcMgCd2,-0.2604102216666666
mp-866225,AcMgHg2,-0.4298220766666667
mp-1183142,AcMgO3,-3.0221042060833327
mp-861735,AcMgTl2,-0.26239890416666656
mp-1183182,AcMgZn2,-0.22590981916666664
mp-1183153,AcMnO3,-2.989263772275333
mp-866056,AcN,-1.2710511195233325
mp-1183255,AcNb3,0.6129870908333324
mp-1183235,AcNd3,0.0213023427083332
mp-1183179,AcNdMg2,-0.0667948210416669
mp-1183139,AcNiO3,-2.3571106160833337
mp-36526,AcOF,-4.176039798035556
mp-867422,AcPbAu2,-0.6266225291666663
mp-1183145,AcPdO3,-2.251154582083334
mp-1183241,AcPm3,0.027570802708333453
mp-1183239,AcPr3,0.019969478333333512
mp-1183181,AcPrMg2,-0.07145161666666677
mp-1183220,AcRh2Pb,-0.3345628541666672
mp-862894,AcSbAu2,-0.6701187604166671
mp-1183247,AcSc3,0.11871088333333367
mp-1183152,AcScO3,-3.843640980083335
mp-1183234,AcSe3,-1.059004143111979
mp-866222,AcSi3,-0.34073509916666644
mp-1183150,AcSiO3,-2.8837971200833343
mp-1183230,AcSm3,0.03537152145833389
mp-865957,AcSnAu2,-0.675602717916667
mp-1183197,AcSnHg2,-0.4165726629166664
mp-1183243,AcSnPd2,-0.6578964104166669
mp-1183217,AcTb3,0.05579495333333373
mp-865558,AcTe3,-0.8717308991666668
mp-1183258,AcTh3,0.1037205645833339
mp-865927,AcTiO3,-3.6199301374166666
mp-865958,AcTlAg2,-0.2251731954166667
mp-865952,AcTlAu2,-0.5846196579166665
mp-984551,AcTlHg2,-0.3879643804166666
mp-1183199,AcTlRh2,-0.3309744879166674
mp-865028,AcTlTe2,-1.040690180416667
mp-1183168,AcVO3,-3.1504115360833342
mp-1183226,AcY3,0.06090381333333372
mp-1183236,AcYb3,0.0468782533333334
mp-1183196,AcYbAg2,-0.3572101941666665
mp-1183185,AcYbAu2,-0.8709608991666662
mp-979962,AcYbCd2,-0.3599731691666665
mp-979981,AcYbGa2,-0.4604315316666665
mp-866203,AcYbHg2,-0.5668328091666666
mp-979950,AcYbMg2,-0.07091152166666648
mp-980005,AcYbRh2,-0.5664664766666672
mp-1183192,AcYbTl2,-0.4143590041666667
mp-865953,AcYbZn2,-0.2946456816666663
mp-1183174,AcZn2Cd,-0.2319361804166664
mp-1183190,AcZn2In,-0.28447536249999983
mp-864809,AcZn3,-0.2391833691666667
mp-861734,AcZnAu2,-0.5321774554166665
mp-1215094,Ag(AsSe2)3,1.2186557293437503
mp-18125,Ag(AuF4)2,-1.3981506181381822
mp-35835,Ag(AuS)2,-0.2306175316250005
mp-567334,Ag(BCl)6,-0.9432250094853856
mp-558796,Ag(Bi2S3)3,-0.6635456029101574
mp-1207284,Ag(BiSe2)3,1.1355878103437504
mp-1206226,Ag(BiTe2)3,1.1434971844999993
mp-654937,Ag(CO)2,-0.6562618277500007
mp-777775,Ag(H7O4)2,-1.240883926986087
mp-675553,Ag(Mo3S4)2,-0.9809461668333332
mp-1103642,Ag(Mo3Se4)2,-0.4580274112499997
mp-1192809,Ag(NO)3,0.8922477927300007
mp-1182987,Ag(NO2)3,-0.22292563921400016
mp-1229205,Ag(OsO3)2,-1.252893833055555
mp-29607,Ag(TeMo)6,-0.212385416153846
mp-29717,Ag(W3Br7)2,-0.4724794454761908
mp-568392,Ag10Te4Br3,-0.1810366613235292
mp-1229222,Ag10Te4BrCl,-0.19018837129750032
mp-770433,Ag11Hg9,0.09985465799999993
mp-1215080,Ag12SBr,1.5788693804241072
mp-1215073,Ag12SI,1.5870723725669644
mp-1195193,Ag12Sn7H16(Se11N2)2,-0.3492067969918441
mp-686119,Ag13(BiI4)14,-0.3738803398795181
mp-676840,Ag13(PbO3)6,-0.8389809395270272
mp-1199256,Ag13As3(IO3)4,-0.800682315625
mp-685283,Ag13Bi15I64,-0.2884978169021737
mp-510349,Ag13OsO6,-0.4667805628750002
mp-686149,Ag15(BiI4)16,-0.3740893869473684
mp-685512,Ag15Bi7I40,-0.2031278874999999
mp-560328,Ag15P4S16Cl3,-0.5556556071934594
mp-1215118,Ag16HgAs4S15,-0.3714797845399305
mp-1205258,Ag2(MoO4)3,-1.1709089952941178
mp-1201221,Ag2(RhS)15,-0.6610225029980468
mp-28729,Ag25(BiO6)3,-0.5612621279891306
mp-1182976,Ag2As2O7,-1.1369616285227266
mp-1202196,Ag2As3S6N,0.02289100943708296
mp-1197575,Ag2AsS2,-0.3603413053750003
mp-1080805,Ag2AsS4N,0.2897349720462499
mp-1183003,Ag2Au3N6Cl17,0.370884167153572
mp-554873,Ag2B8O13,-2.525631806829711
mp-559071,Ag2Bi2S3Cl2,-0.8001716015230558
mp-1229130,Ag2Bi2SeS3,-0.4360090413476563
mp-1229134,Ag2BiSb(TeSe)2,-0.10714242839843767
mp-1229120,Ag2BiSbSe4,-0.18157888429687485
mp-1229125,Ag2BiSbTe4,-0.06936184125000011
mp-862982,Ag2Br3,-0.2772567149999997
mp-556345,Ag2BrNO3,-0.6453391976614284
mp-1197559,Ag2C4Br3N,1.233024536762001
mp-1199990,Ag2C4I3N,0.9832050372620004
mp-574486,Ag2CN2,0.26034859179800024
mp-4691,Ag2CO3,-1.1053453095833337
mp-680067,Ag2CSNClO4,-0.33475179684525
mp-864635,Ag2Cl3,-0.7356259419559997
mp-1391,Ag2F,-0.8666179053966664
mp-861945,Ag2F3,-1.346172852714
mp-542298,Ag2F5,-1.40773032335
mp-1196546,Ag2Ge(S2O7)3,-1.7547057859097228
mp-554988,Ag2Ge2O5,-1.5033414856944436
mp-983589,Ag2GeO3,-1.2164882318750003
mp-755127,Ag2GeO4,-1.0872102628571425
mp-861942,Ag2GePbS4,-0.63583943078125
mp-567645,Ag2H12C6N3Cl,-0.1978131881808339
mp-723002,Ag2H12S(NO)4,-0.8981675450879351
mp-778019,Ag2H16O9,-1.1958801948766653
mp-686742,Ag2H21N7(ClO4)2,-0.3897076473550001
mp-1196868,Ag2H2C2N6O13,-0.6428588537107999
mp-690687,Ag2H2IOF,-1.0481845320971428
mp-555477,Ag2H3IO6,-0.8497917611133339
mp-860963,Ag2H4(SO4)3,-1.5889844491270242
mp-1215002,Ag2H8C2S2N5ClO3,-0.6294152881954361
mp-1229093,Ag2Hg,0.06639265000000033
mp-558763,Ag2Hg(SeO3)2,-0.9288833914488634
mp-553949,Ag2Hg2(TeO4)3,-1.1216185068421052
mp-770023,Ag2Hg3,0.07595747560000006
mp-759790,Ag2Hg5,0.0644493857142858
mp-23592,Ag2Hg7(As2I3)2,-0.1708621717105264
mp-571425,Ag2Hg7(P4Br3)2,-0.2228673455279507
mp-672339,Ag2Hg7(P4I3)2,-0.1334974981366461
mp-1095946,Ag2HgAu,0.9501004375
mp-29816,Ag2HgO2,-0.4678978464999997
mp-9635,Ag2HgS2,-0.3223711176249996
mp-556866,Ag2HgSI2,-0.34901053067708343
mp-557396,Ag2INO3,-0.6305358310542866
mp-1079032,Ag2IO6,-0.4127691608333335
mp-1079461,Ag2IOF,-0.297411983488
mp-1203404,Ag2Mo(I2O7)2,-0.9882302984523812
mp-504777,Ag2Mo2O7,-1.5835860389772731
mp-566624,Ag2Mo3SeO12,-1.6201045917274304
mp-19318,Ag2MoO4,-1.3145383064285707
mp-557303,Ag2NClO3,-0.7523838516985712
mp-546190,Ag2O3,-0.37141441175000056
mp-1195759,Ag2P2H2O7,-1.8561426307904405
mp-557644,Ag2P2PbO7,-2.001524861502976
mp-1190325,Ag2P2PdO7,-1.801684049419644
mp-707138,Ag2PHO4,-1.6088911711370244
mp-558151,Ag2PO3F,-1.7878592713689805
mp-558469,Ag2PS3,-0.5102542347495047
mp-13956,Ag2PSe3,-0.10769596090401794
mp-667327,Ag2Pb8Cl4O7,-1.3871203391328577
mp-1229102,Ag2PbI4,-0.34704273428571397
mp-20210,Ag2PbO2,-0.8307500505000001
mp-1195817,Ag2Pd(NO2)4,-0.6970423389679998
mp-1096329,Ag2PdAu,1.6953643600000003
mp-28557,Ag2PdCl4,-0.7940388418628574
mp-1182977,Ag2S(NO)2,-0.2333487841174988
mp-1192057,Ag2S2O7,-1.5445173733522728
mp-30982,Ag2SO3,-1.1788648742187509
mp-5625,Ag2SO4,-1.3689816541517854
mp-568936,Ag2Se,-0.06936742453125018
mp-16913,Ag2SeO3,-0.8401775791406246
mp-11641,Ag2SeO4,-0.8556611797991067
mp-1197599,Ag2Sn(S2O7)3,-1.7714285399097218
mp-1229127,Ag2SnBiS4,-0.5467482082812505
mp-1229140,Ag2SnBiSe4,-0.22099038054687486
mp-10963,Ag2SnHgSe4,-0.2457133899218751
mp-680202,Ag2SnO3,-1.2166750512500002
mp-1592,Ag2Te,-0.06384953916666684
mp-1193238,Ag2Te(H2O3)2,-1.1567122593830772
mp-13211,Ag2Te2O7,-1.1173442348863636
mp-1190916,Ag2Te3Mo3O16,-1.6212399925000005
mp-1197464,Ag2Te4MoO12,-1.4418763842105269
mp-561380,Ag2Te4O11,-1.2599128652205882
mp-18068,Ag2TeO3,-0.9218383777083338
mp-558768,Ag2TeO4,-0.981272816666667
mp-29163,Ag2TeS3,-0.3606672361979164
mp-32537,Ag2W2O7,-1.649767013977273
mp-504466,Ag2WO4,-1.354037308571429
mp-990091,Ag2WS4,-0.5952075719642858
mp-35320,Ag3(AsO4)2,-1.0398752353846146
mp-685586,Ag3(Bi2Br3)7,-0.4617111607894733
mp-36383,Ag3(PO4)2,-1.6245073164835162
mp-1229256,Ag32Te20As3,0.2479109286363635
mp-674968,Ag33(PbO3)14,-0.8275574490168542
mp-1183193,Ag3As,0.08363004125000018
mp-9538,Ag3AsS4,-0.41529535515625016
mp-1183214,Ag3Au,-0.04032626999999955
mp-34460,Ag3AuS2,-0.2874891996875005
mp-3172,Ag3AuSe2,-0.09169334161458308
mp-1229183,Ag3AuSeS,-0.17256582502604148
mp-1194638,Ag3B5O9,-2.179938103799019
mp-561550,Ag3BO3,-1.215986380059524
mp-1229111,Ag3Bi,0.15411070125000048
mp-1229165,Ag3Bi7S12,-0.6489123865340916
mp-1214935,Ag3Bi8S13,-0.6257776909505198
mp-1120715,Ag3BiBr6,-0.17843915949999953
mp-505145,Ag3BiO3,-0.7974786662499993
mp-1183272,Ag3Br,0.0800594612500003
mp-1229212,Ag3C(NO2)3,-0.517806729876154
mp-1214975,Ag3C2(NO3)2,-0.2732488269046146
mp-562248,Ag3CS(NO2)3,-0.5542146348180361
mp-1183265,Ag3Cl,-0.10168340206499947
mp-1183244,Ag3F,-0.4241749627974998
mp-562412,Ag3F8,-1.3730333313199998
mp-1229108,Ag3Ge,0.09351300875000046
mp-17862,Ag3Ge5P6,-0.03077631770408118
mp-695941,Ag3H13SeN4O5,-0.7254161465932218
mp-1215046,Ag3HSN3O2,0.07272179026775162
mp-1183250,Ag3Hg,0.013307035000000413
mp-653562,Ag3I(NO3)2,-0.4549807162300006
mp-776370,Ag3IrO4,-0.642385863124999
mp-1214986,Ag3Mo3AsO13,-1.5991065043124992
mp-985299,Ag3N,0.9766874969050005
mp-562667,Ag3N5O6,-0.4669809274571425
mp-27819,Ag3O,-0.2317302865624993
mp-1605,Ag3O4,-0.4187488807142858
mp-985295,Ag3P,0.20910242446428606
mp-27821,Ag3P11,-0.026356596683673468
mp-1197801,Ag3P2N(O3F)2,-1.4141694415389805
mp-1214993,Ag3P3HO9,-1.7825030375811606
mp-1199654,Ag3P3O10,-1.7960074149330367
mp-695967,Ag3P6H12N3O19,-1.6366835992369109
mp-1229128,Ag3PO4,-1.4267935265178568
mp-12459,Ag3PS4,-0.5149702129241072
mp-30908,Ag3PSe4,-0.10808932518973212
mp-1215074,Ag3Pd13Pb6,-0.20114874015151527
mp-12065,Ag3Pt,0.013757132500000324
mp-1183225,Ag3Rh,0.21699958375000028
mp-1183261,Ag3Ru,0.5204121875000007
mp-1183254,Ag3S,-0.057886671015624724
mp-1182998,Ag3S(NO)3,0.10141791875475052
mp-1201018,Ag3S4(O3F)4,-1.7771867537395651
mp-36600,Ag3SBr,-0.2708535588124999
mp-22995,Ag3SI,-0.2260977928124997
mp-1215087,Ag3SI3,0.8452675051339286
mp-556747,Ag3SNO3,-0.6010737443990628
mp-1183032,Ag3SNO4,-0.7161700029380553
mp-16240,Ag3Sb,0.022869952500000682
mp-1195261,Ag3Sb4F24,-2.41626915076
mp-1202934,Ag3SbO4,-1.013178593437499
mp-1214902,Ag3SbTe4,0.03676630937500036
mp-1215084,Ag3SbTe6,1.1040839745000004
mp-1183249,Ag3Se,0.024213244101563003
mp-6476,Ag3SeNO3,-0.3346152287154691
mp-611,Ag3Sn,-0.02558795624999944
mp-17568,Ag3Sn2(GeP2)3,-0.044248708775509515
mp-29849,Ag3SnP7,-0.052778911818180715
mp-1215111,Ag3Te(AsO7)2,-0.7051149808749997
mp-1215032,Ag3Te(PO7)2,-1.0600191360892857
mp-5710,Ag3Te2Au,-0.07187482291666687
mp-1229219,Ag3Te32Au13,-0.08067288374999985
mp-684006,Ag3TeIO4,-0.8206049258333339
mp-1183177,Ag3W,0.8702031025000005
mp-675633,Ag4AuS2,-0.07762904401785775
mp-28996,Ag4Bi2O5,-0.9181102610227276
mp-560342,Ag4GeO4,-0.9093633755555556
mp-1229155,Ag4Hg4S4BrCl3,-0.6041361841268751
mp-542199,Ag4HgGe2S7,-0.5507311373883935
mp-579107,Ag4Mo2Se3O16,-1.26947851543125
mp-27482,Ag4P2S7,-0.5297454644402471
mp-553924,Ag4PIO4,-1.205564323214285
mp-560947,Ag4S(NO)2,-0.2680402879247221
mp-685999,Ag4SI,0.029090387656249682
mp-556570,Ag4Se(IO2)2,-0.6301513382812497
mp-1229187,Ag4Sn2(HgSe3)3,-0.2223728192968749
mp-1195808,Ag4Sn3S8,-0.599062011833334
mp-738646,Ag4Te(ClO3)2,-0.3631088995399999
mp-618375,Ag4Te(NO3)2,-0.5066278549815391
mp-1182984,Ag4Te(PO7)2,-1.2485521131802717
mp-554357,Ag4TeO5,-0.7877403406249996
mp-1199607,Ag4TeSO4,-1.0053169736562495
mp-22286,Ag5(PbO3)2,-0.8179241444230768
mp-530464,Ag5(Sn3S8)2,-0.6100228109259253
mp-1229225,Ag5BS4,-0.17807606129166728
mp-28812,Ag5BiO4,-0.6725069009999999
mp-29536,Ag5CF4,-0.8542754823509998
mp-5563,Ag5GeO4,-0.8316384194999991
mp-568540,Ag5Hg4P8Cl5,-0.3893102115201298
mp-1194068,Ag5HgSbO6,-0.8254211709615393
mp-559847,Ag5P(S2Cl)2,-0.6006745212427388
mp-1191916,Ag5PSeO4,-1.108365206885145
mp-1229311,Ag5Sb23(PbS4)12,-0.6618877590909087
mp-4004,Ag5SbS4,-0.36526157412500027
mp-1215016,Ag5Te2Br,-0.1390953329687501
mp-573465,Ag5Te2Cl,-0.25273707743874985
mp-1191803,Ag5TePO4,-1.117372046103896
mp-1229181,Ag6Au2Se3S,-0.13029386665364606
mp-1214970,Ag6Ge(S2Br)2,-0.4337667249038464
mp-1214971,Ag6Ge(S2Cl)2,-0.5583879869438463
mp-15487,Ag6Ge2O7,-1.0334349490833332
mp-558786,Ag6GeSO8,-1.141896221503906
mp-1229218,Ag6Hg(P10I)2,-0.056827678201969926
mp-1229209,Ag6HgGeSe6,-0.13879364011160686
mp-1229201,Ag6HgNO11,-0.57463096927
mp-504579,Ag6Mo10O33,-1.7096316861479586
mp-566886,Ag6Mo2ClO7F3,-1.4091577084515794
mp-1229161,Ag6P6O19,-1.8300203440841007
mp-1229145,Ag6SbAsS6,-0.3986527688839284
mp-1197642,Ag6Sn3(S5N)2,-0.28493623966119097
mp-1229118,Ag6SnSb,-0.0059606737499993115
mp-1204185,Ag6Te4W3O20,-1.4177592262121217
mp-531125,Ag7(PbO3)3,-0.8290271821710522
mp-675987,Ag7(SI)2,-0.08328069619318157
mp-696470,Ag7NO6,-0.1950391507057141
mp-690667,Ag7NO8,0.41644822985124996
mp-683910,Ag7P3S11,-0.515608151600765
mp-1197032,Ag7PS6,-0.4119901676084185
mp-8594,Ag7PSe6,-0.10828864580038253
mp-766328,Ag7Sb9O25,-1.4532712616158538
mp-28228,Ag7Te4,0.17619700090909102
mp-679950,Ag8Ge3O10,-1.069021824761905
mp-18474,Ag8GeSe6,-0.15267480077083348
mp-685969,Ag8GeTe6,-0.04370992900000014
mp-1215006,Ag8Hg(AsO5)2,-0.7645478677380954
mp-28963,Ag8S,0.1718549739930554
mp-1229180,Ag8Sb5As3S16,-0.4809986882812503
mp-15645,Ag8SnS6,-0.3911430369583338
mp-651048,Ag9(BiO3)2,-0.41625844235294096
mp-675327,Ag9(PbO3)4,-0.8338730566000003
mp-676430,Ag9(SI)4,-0.16602588566176485
mp-561034,Ag9Ge2IO8,-0.8492710115000002
mp-1229182,Ag9Ge2NO11,-0.8923394811360876
mp-1195618,Ag9P14(OF)28,-2.390875508016709
mp-676260,Ag9Te4Br3,-0.12228639875000002
mp-1183178,AgAs,0.2230385374999999
mp-556837,AgAs(S8F3)2,-1.2013482873808332
mp-1191037,AgAs(SeF2)3,-1.6572115893564772
mp-557631,AgAs(XeF5)2,-1.6235006772785714
mp-985701,AgAs3H2O9,-1.4514341152326675
mp-554710,AgAsC4S8(N2F3)2,-0.8172889887150004
mp-37153,AgAsF6,-2.2224290377675
mp-4807,AgAsF7,-2.1287065667588894
mp-997022,AgAsO2,-1.174662481875
mp-1178563,AgAsO3,-1.2890284337499989
mp-22665,AgAsPbS3,-0.5870369899479169
mp-631567,AgAsRu2,0.5193035212500003
mp-984714,AgAsS,-0.3027353480208337
mp-1196797,AgAsS16N16(O4F3)2,-0.7579227936504166
mp-649756,AgAsS6N4(OF3)2,-1.2068317065517498
mp-985442,AgAsSe,-0.0718965545312494
mp-1229092,AgAu,-0.043049855000000026
mp-1229194,AgAu(IO3)4,-0.7271981641666672
mp-570340,AgAuCl4,-0.7591540005066669
mp-16060,AgAuF4,-1.41938485246
mp-1196161,AgAuF7,-1.3308716825922222
mp-996983,AgAuO2,-0.4808341131249998
mp-776165,AgAuO3,-0.3704004732500011
mp-37920,AgAuS2,-0.2716904645312499
mp-10413,AgB(CN)4,0.13772180388133393
mp-738633,AgB10H26C6N,-0.2268895011515152
mp-1204520,AgB10P2H40C15NCl2O3,-0.2956137057047616
mp-703539,AgB11H6CBr6,-0.35800754415213304
mp-12062,AgB2,0.5236279355555561
mp-1194753,AgB3O5,-2.4165209404166665
mp-12021,AgBF4,-2.5974420681544443
mp-5160,AgBF5,-2.4423102396595238
mp-24058,AgBH2OF4,-2.214005203601852
mp-759882,AgBH8C4(N2F)4,-0.8887117903625636
mp-1215142,AgBHC12(NF2)9,-1.1726577771577782
mp-559803,AgBO2,-1.8990469032291672
mp-780275,AgBO3,-1.5180414950833332
mp-559834,AgBTe4C(OF4)5,-2.180454991030208
mp-557494,AgBTe4C2(O3F10)2,-2.1112668739107843
mp-1195262,AgBi(IO3)4,-0.9404603336111114
mp-556434,AgBi(PS3)2,-0.6565764758660706
mp-569126,AgBi(PSe3)2,-0.18586768258482209
mp-1192345,AgBi(WO4)2,-1.8580484966666664
mp-28965,AgBi2F12,-2.032778500952
mp-558368,AgBi2S3Cl,-0.7761266072067856
mp-569939,AgBi2Se3Cl,-0.5099591341487495
mp-1229202,AgBi3PbS6,-0.6881572435795462
mp-23474,AgBi3S5,-0.6744614828125014
mp-35909,AgBiI4,-0.3763377825
mp-996969,AgBiO2,-1.1602262068749996
mp-775774,AgBiO3,-1.0406982187500011
mp-1229121,AgBiPbS3,-0.632441607864583
mp-1183166,AgBiPd2,-0.2046067412500001
mp-556094,AgBiSCl2,-0.9716200991165004
mp-1229089,AgBiSeS,-0.3262229069140625
mp-29656,AgBiTe2,-0.15024210375000013
mp-1229113,AgBiTe3Pb,-0.2003864058333337
mp-1229083,AgBiTeSe,-0.12364503339843758
mp-1096805,AgBrO2,-0.223249310625
mp-1178562,AgBrO3,-0.3002671467500001
mp-756139,AgBrO4,-0.2127338458333329
mp-1008653,AgC,2.235058755625
mp-567459,AgC2N3,0.2177874938100004
mp-1215161,AgC2S2N4Cl,0.48295447678450004
mp-650510,AgC3N3O,0.15532010332625035
mp-1183029,AgC3N3O2,-0.056409251348889536
mp-1214977,AgC4(BrO)2,-0.35901078388888963
mp-29672,AgC4N3,0.3437048134825007
mp-1189890,AgC4NCl2,1.6339025938875011
mp-561205,AgC4OF9,-1.6556090691306669
mp-1214982,AgC6,1.3876313782142853
mp-9519,AgCN,0.3416693762899996
mp-560460,AgCN3O2,-0.18967307584142848
mp-6781,AgCNO,-0.5226057118450003
mp-5282,AgCO2,-1.1191855434374989
mp-753176,AgCO3,-1.2515194695000005
mp-1200256,AgCS2(O2F)3,-1.7062651615726925
mp-562550,AgCSN,-0.030207851923125695
mp-996984,AgClO2,-0.4154546914399999
mp-775761,AgClO3,-0.5460286984020002
mp-22993,AgClO4,-0.5282975647099993
mp-7715,AgF2,-1.45489854746
mp-18536,AgF3,-1.3339950196425
mp-1183245,AgGe3,0.2849348512500005
mp-1096274,AgGeAu2,1.24574221625
