,composition,Eg
153,Rb2Cd3B16O28,4.76
154,Zn0.99Hg0.01Se,2.6
155,La2Nb2N2O5.1,0.0
156,FeAsSe,0.6
157,Ce2Ti2O7,0.0
158,Mg2Sn,0.31
159,BaZn(MoO2)4.162,0.0
160,PrFeGe2,0.0
161,Sc14Cu14O37,0.0
162,Ca2CuWO6.14,0.0
163,UCu2P2,0.0
164,CuGaSe2,1.36
165,Cu2Te,1.04
166,CdS0.55Se0.45,2.05
167,BaCu2SnSe4,0.48
168,V3SiNi2,0.0
169,LaBiAu2,0.0
170,AlN,5.9
171,Cu3YTe3,0.72
172,CsHgInS3,2.3
173,Pb0.99TeGa0.01,0.42
174,NaSbSe2,1.6
175,Ca2PbAu2,0.0
176,Li8PrO6,0.0
177,Fe2Cu(PO4)3.167,0.0
178,Cd4P2Cl3,2.17
179,CdTe,1.49
180,LiTaRh2,0.0
181,Hg0.14Zn0.86Te,1.73
182,K2Sm2Ti3O10,3.26
183,SrTiO3,4.1
184,CuBiP2Se6,1.2
185,AgBiP2S6,1.7
186,ReSi2,0.12
187,ZnTe,2.1
188,Li3Ni(SbO3)4.1,0.0
189,Lu3InN,0.0
190,Li14Ti21O48,0.0
191,GeS,1.61
192,SrCe2Se4,0.0
193,TlBr,3.4
194,YbAgGe,0.0
195,ZnSe,2.8
196,Zr6Al2Ni,0.0
197,In2Se2O7,2.97
198,YBi,0.0
199,K3Hg,0.0
200,Zr5Al3C,0.0
201,Na2SO4,0.0
202,Li2TiMn3O8.166,0.0
203,CsSmZnSe3,2.63
204,Yb16S29,0.0
205,Li6FeO6,0.0
206,Sb2Te3,0.3
207,Zn3As2,0.98
208,Ta2OsW,0.0
209,LiAlRh2,0.0
210,TlBiTe3,0.5
211,Li2SnIr,0.0
212,DyInCu2,0.0
213,LiSn(PO3)4.134,0.0
214,Y6ZnSi2S14,2.38
215,EuSb2BO8,3.46
216,Sr3GeSb2Se8,0.75
217,ThFe2Si2,0.0
218,AgSbTe2,0.6
219,Li4Mn5Nb3O16.1,0.0
220,In0.6As0.6Ga0.4P0.4,1.25
221,NbRu2Cl,0.0
222,PbSe0.99S0.01,0.26
223,RbBiS2,1.36
224,B5Mo2,0.0
225,BaTiO3,3.06
226,YCoO3,0.0
227,Li3MnAs2,0.0
228,TmCo2Si2,0.0
229,V3Si,0.0
230,Cu2In4Te7,1.1
231,Pr2InGe2,0.0
232,EuS,1.65
233,MoO3,3.75
234,Pb0.8Se0.8Sn0.2Te0.2,0.14
235,CaF2,9.92
236,U2TeN2,0.0
237,Zr2Se,0.0
238,Ag2S,1.0
239,Zn2In2S5,2.95
240,Al10V,0.0
241,SiP2,1.89
242,Ho3Ge5,0.0
243,KTm,0.0
244,BaB2O4,6.43
245,Pb0.99Ge0.01Te,0.32
246,Sm3Sb14Te24,0.0
247,LiFe2(SiO4)2.1,0.0
248,Re3As7,0.0
249,LiMnO2,0.0
250,ZnSe,2.69
251,Bi2Se3,0.35
252,Ba5Sb3,0.0
253,Dy12C6I17,0.0
254,KPSe6,2.16
255,CeAl2Pd5,0.0
256,Cd5Ga2S2Te6,1.29
257,AgSbSe2,0.67
258,SrIn4Pt,0.0
259,GdSi2Ru2,0.0
260,YHg2,0.0
261,NdSb,0.0
262,CdGeAs2,0.53
263,Li2NdAs2,0.0
264,InSb,0.23
265,Cu2Ta4O11,2.6
266,SnS2,2.43
267,Hg6As4CdBr6,1.89
268,CuCl,3.27
269,Cs3Bi2I9,1.9
270,SiSn,0.59
271,Na3Sb,1.17
272,Mn3Al10,0.0
273,In0.99P0.99Ga0.01As0.01,1.3
274,Zn4Sb3,1.2
275,InHgW2,0.0
276,MgFe2S4,0.0
277,BiO,0.0
278,KCd4Ga5Se12,2.16
279,Mn1.95GdIn1.05S5,1.66
280,Hg3Sb,0.0
281,Li3Mn2CuO6.12,0.0
282,Al2Cu3Se6,0.0
283,Sm3AlN,0.0
284,In2Se3,1.25
285,SiSb3,0.0
286,TlSbS2,1.88
287,Rb3Cu8S6,0.0
288,EuMn2Ge2,0.0
289,Li4Cu(PO4)2.1,0.0
290,YMgCu4,0.0
291,NbOsPb,0.0
292,CeCo2As2,0.0
293,GeSe,1.38
294,ZnTe,2.4
295,Li5Mn3(FeO5)2.2,0.0
296,RbI,6.05
297,Ba4CuGa5S12,2.82
298,Ba3GeS5,3.0
299,Li3CrCo3O8.166,0.0
300,Cs2AgBiCl6,2.77
301,LiTm2Rh,0.0
302,Cd3Sb2,0.3
303,Rb3Ga,0.0
304,InSe,1.05
305,ZnGaRh2,0.0
306,Bi2Te2.4Se0.6,0.25
307,KAgO,0.0
308,Zn3In2S6,3.05
309,Mg3Bi2,0.0
310,Ca3La2Sn3S12,1.45
311,TlCl,3.23
312,YbH2ClO2.11,0.0
313,NdIn3,0.0
314,Pb0.97Sn0.03Te,0.21
315,CeSi2Pd2,0.0
316,ZrInPd2,0.0
317,K2Au2Sn2S6,2.3
318,KInTe2O6,4.0
319,NiGePt2,0.0
320,YbClWO4,4.23
321,Pb10B3O13Br3,3.25
322,V2O5,2.54
323,InSb0.01As0.99,0.17
324,V2RuOs,0.0
325,ZnTe,2.29
326,Bi2Pt,0.0
327,TaCoSn2,0.0
328,LiCuPO4.15,0.0
329,CuCdInSe3,1.66
330,SrThP2S8,3.02
331,Yb2MgS4,0.0
332,ZnO,3.35
333,Na0.5Pb1.75GeS4,2.08
334,EuCsF3,0.0
335,SrIn8Rh2,0.0
336,Pb3Cl4TeO3,3.79
337,Pr2HgPb,0.0
338,Ga0.75P0.75Zn0.25Se0.25,2.18
339,CsYCdSe3,2.54
340,SbI3,2.5
341,Mg3Ru2,0.0
342,Hf3P3Pd4,0.0
343,CaCo4S8,0.0
344,Li2CdGeS4,3.1
345,PbTe,0.22
346,Sr2MgReO6.225,0.0
347,CsWCl6,0.0
348,GdB66,1.27
349,HPbI3,0.0
350,YbTlSe2,0.0
351,TlHgInS3,1.74
352,PrBN2,4.0
353,NbHg3F6,0.0
354,Ba2InSbSe5,1.92
355,SmSnRh2,0.0
356,TlSe,0.79
357,CeNbO4,0.0
358,VPt2,0.0
359,EuZn2Ge2,0.0
360,V3H4O8,0.0
361,Na3Mn2(GeO4)3.230,0.0
362,SeTe,1.58
363,TiPd,0.0
364,Sr3Sb2,0.0
365,GaSe,2.09
366,Mn5As4,0.0
367,As2S3,2.8
368,CdS,2.64
369,PtS,0.8
370,As2S3,2.35
371,BeAlB,0.0
372,CsB3O5,7.42
373,BaTl(MoO3)2.8,0.0
374,Zn0.5Hg0.5Se,0.75
375,Ti3Cu3O,0.0
376,YB2Rh2C.139,0.0
377,Ba3ZnTa2O9,4.32
378,Ge0.02Si0.98,1.08
379,Zn0.99Cd0.01Se,3.7
380,Cu3SbSe4,0.31
381,BaIr2Ge4Se6,1.33
382,NaBiSe2,0.32
383,BiI3,1.93
384,GaP,2.78
385,Ba8Ta7O24,0.0
386,Na2TeSe3,1.87
387,Zn2In2S5,2.65
388,Cd3As2,0.24
389,Pb0.92Sn0.08Te,0.13
390,Bi2Te2.7Se0.3,0.21
391,TiTlSe2,0.56
392,LiCl,9.33
393,Cd4As2Br3,1.93
394,Th6Mg23,0.0
395,TmCu2S2,0.0
396,SmSb,0.59
397,NaCeS3,2.15
398,DyIr2,0.0
399,CdSiP2,2.2
400,HfTc,0.0
401,Li4Cr3NiO8.2,0.0
402,CdBiO2Cl,3.08
403,Ta2TiN3,0.0
404,Na11Bi5O16,0.0
405,YB66,0.8
406,Hg0.796Cd0.204Te,0.06
407,ZnO,3.44
408,ZnO,3.26
409,HfAsRh,0.0
410,CdS,2.42
411,BAs,1.45
412,Ce4FeSe6O.186,0.0
413,Zn3As2,0.86
414,PdP2,0.65
415,CoSbS,0.11
416,Sc3GaC,0.0
417,RuAs2,0.8
418,CuP2,1.45
419,Bi2SeI2O11,3.7
420,CsLu7S11,1.86
421,VTe2,0.0
422,TbAl3C3,0.0
423,KGaSnSe4,1.73
424,Rb4Si2CuO7.2,0.0
425,K0.6Cs0.4PSe6,2.1
426,GaAs,1.52
427,LiCa2Ge3,0.0
428,SrB6,3.68
429,Hg0.77Cd0.23Te,0.21
430,AlFe4(CuO4)3.204,0.0
431,Ba3N2,0.0
432,TaN,2.3
433,Ag3RuO4,0.0
434,Cu3HoTe3,0.26
435,ZnTe,2.23
436,Sb2Se3,1.0
437,Ag3AsSe3,2.2
438,Ir2Sn3Se3,0.43
439,ScN,2.6
440,EuCaO2,0.0
441,Mg3N2,2.8
442,Pb0.995TeGa0.005,0.37
443,CuI,3.07
444,Ce2O2FeSe2,0.64
445,GaAs0.3P0.7,2.16
446,InP,1.34
447,Ce3Al,0.0
448,Tl2Au2Sn2Se6,1.2
449,NdMnSbO.129,0.0
450,Dy3GaS6,2.81
451,U2Cl5O2,0.0
452,Na2BaGeSe4,2.25
453,Yb2ZnPb,0.0
454,LiAl3,0.0
455,RuSb2,0.3
456,TmLuPd2,0.0
457,Gd3.04Sc0.96S6,1.5
458,FeRhO3,0.0
459,PbSnS3,1.05
460,ZnO,3.44
461,CuCl,3.21
462,Cd2AgRh,0.0
463,TiMn2Ge,0.0
464,Ba2InGdSe5,2.24
465,Mg2RhAu,0.0
466,AgPbBiSe3,0.13
467,As2Se3,1.7
468,Hg0.1Cd0.9Se,0.35
469,LuHfRu2,0.0
470,Li5Co2Ni3O10.10,0.0
471,Ge0.93Si0.07,1.04
472,SiB3,2.0
473,ErTe,0.9
474,OsTe2,0.3
475,Rh7Pb3O15,0.0
476,Li7Ca8Nb12O40.1,0.0
477,MgPt5,0.0
478,Hg6As4CdBr6,1.94
479,CsCl,8.1
480,SbSI,1.85
481,InAs,0.45
482,Hg3Te2Bi2Cl8,2.8
483,GaS,2.59
484,Rb2HgP2Se6,2.32
485,TmU2S3O2.139,0.0
486,TmMn6Ge6,0.0
487,La2MoO5,0.49
488,Na2GeIn2Se6,2.47
489,HgPt3,0.0
490,GaSe,2.13
491,ThMn4(CuO4)3.204,0.0
492,PrGe3,0.0
493,ZnTe,2.18
494,Li4Co2Ni3O10.10,0.0
495,TbIn2Ni,0.0
496,CsIr,0.0
497,FeIn2Se4,1.15
498,P2Se5,2.2
499,Nb4Co2PdSe12.12,0.0
500,GdB6,3.6
501,CsGdZnTe3,2.13
502,Ce3LuSe6,1.1
503,NaSn2,0.0
504,Pb0.97Sn0.03Te,0.3
505,Tm2MgRu,0.0
506,Ca3In,0.0
507,Pb0.999Se0.999Sn0.001Se0.001,0.32
508,Zn3As2,1.1
509,CeScO3,3.2
510,NH7Se2O6,4.81
511,Ga0.05P0.05Zn0.95Se0.95,2.4
512,PtSb2,0.06
513,Ga1.05Sb0.95Se0.15,0.66
514,Ti2C,0.0
515,La3CuGaSe7,1.36
516,PtS,0.38
517,Ho3Hg,0.0
518,La2O2ZnSe2,3.4
519,GdSe2,0.0
520,HgSe,0.6
521,YWO3,0.0
522,Pb0.999Sn0.001Te,0.32
523,CdIn2Se4,2.0
524,ZnSnAs2,0.6
525,AgPdI3O9,1.5
526,Tb2O3,3.0
527,Na3MoO4F,4.77
528,TaON,2.8
529,NaLa2TaO6,4.5
530,Mg4Sc3(SiO3)8.3,0.0
531,GaAs0.15Sb0.85,1.1
532,Lu3TlC,0.0
533,NaAsSe2,1.56
534,Ga1.002Sb0.998Se0.006,0.7
535,As2Te3,1.72
536,Cs2Te,3.5
537,EuCd2Sb2,0.0
538,Cu0.4Ga1.6S2.6,2.45
539,AgP15,1.47
540,Ca3BiAs,0.0
541,AlP,2.5
542,Ag3AsSe3,2.07
543,K2CdP2Se6,2.58
544,KSbSe2,1.65
545,Sr5Bi3,0.0
546,KBi3S5,1.21
547,Na2V6O13,0.0
548,HfV2Ga4,0.0
549,GaN,3.5
550,K6Yb3P5S20,2.6
551,Ga5Pd13,0.0
552,TbGa2Co3,0.0
553,CsErZnSe3,2.56
554,PbCl2,3.94
555,CoAs3,0.4
556,GaS,2.53
557,K4C2O3,0.0
558,Pb6B2CrO12,1.8
559,Mg5Tl2,0.0
560,InAs,0.36
561,Ti5ZnO7,0.0
562,Ba3NaIr2O9.194,0.0
563,Cs4In8GeSe16,2.2
564,Li2NdSb2,0.0
565,Nb2Co3O9,0.0
566,K6CdTe4,2.51
567,Pb0.9Ge0.1Te,0.35
568,LiMn2(PO4)2.29,0.0
569,Rb2CsSb,1.5
570,K2CuNbSe4,2.14
571,Na2TeS3,2.35
572,Y2Mo2O7,0.0
573,Cu2O,2.59
574,Bi2SI2O11,3.74
575,GaSe,2.17
576,TlCl,3.47
577,ZnTe,2.26
578,TbCu5,0.0
579,Bi4PdSe4O12,2.06
580,Zn0.75Cd0.25Se,3.3
581,Ga0.6Al0.4P,2.35
582,CuNb3O8,1.47
583,Zn6S5Cl2,2.71
584,Li7Ti7O16,0.0
585,Na3ZnB5O10,3.2
586,CuSbS2,1.4
587,Hf5Si4,0.0
588,Dy2Sn5,0.0
589,EuKS2,0.0
590,ErB2Ir3,0.0
591,KCl,8.5
592,Rb2Cd3Se4,2.37
593,Cu0.15Ga1.85Se2.85,1.92
594,Na2Hg3Si2S8,2.86
595,Ce2Co5B2,0.0
596,EuDy2Se4,1.8
597,CdSe,1.82
598,Bi2Te0.3Se2.7,0.24
599,CaAu5,0.0
600,Tb4GaSbS9,2.44
601,Na3Sb,1.0
602,ThO2,3.5
603,Bi2I4O13,3.3
604,Rb3Ta2AsS11,2.21
605,CsCeHgSe3,1.94
606,VCu3(PO4)4.6,0.0
607,InP,1.42
608,Ga0.9Sb0.9Zn0.1Te0.1,1.0
609,Hf2Hg,0.0
610,Hg2Rh,0.0
611,Ni4P3O12,0.0
612,PrFe2Si2,0.0
613,PrP,0.0
614,PrTe2,1.29
615,Gd6Ge2.5S14,2.2
616,Li4HgGe2S7,2.75
617,Pb0.92Sn0.08Te,0.16
618,GdH2NO5,4.84
619,DyBPd3,0.0
620,BaCaSn3,0.0
621,Ba2NdGaS5,2.12
622,UFe5Si3,0.0
623,Ba2In2S5,2.47
624,Ca2MnAlO5.46,0.0
625,Ge0.2Si0.8,1.1
626,CuGaGeSe4,1.38
627,SbSeBr,1.84
628,VSb,0.0
629,KTiPO5,3.54
630,LiSbS2,1.36
631,Eu2TeO2,0.0
632,CdTeO3,3.55
633,BaTiO3,3.04
634,SbSI,1.96
635,Ba3B1.5S6Bi0.5,2.43
636,ThOSe,1.65
637,LiMnCoO4.74,0.0
638,CaTe,4.07
639,LaScSi,0.0
640,B4W,0.0
641,In2Se,0.69
642,GaAs,1.51
643,Mn2P2Se6,2.5
644,GeW6O18,0.0
645,CuPbBiSe3,0.07
646,ScTi9N9,0.0
647,Sm4MgRh,0.0
648,Ca6Ag16N,0.0
649,GdN,1.54
650,Mg3B50C8,2.7
651,Ru2Ge3,0.34
652,Zr5Sb3,0.0
653,SmInAu,0.0
654,Cu0.1In1.9Se2.9,1.45
655,Li13Nb14ZnO42.1,0.0
656,NaZr2TiF11.12,0.0
657,LiCu3F7,0.0
658,Ga0.15As0.15Zn0.85Se0.85,2.25
659,Zn0.01S0.01Ga0.99P0.99,2.25
660,Li2CdSnS4,3.26
661,TaBe2,0.0
662,ZnO,3.49
663,EuLiH3,1.5
664,MnSb2Se4,0.31
665,Li3V12O29,0.0
666,CBr4,3.7
667,ScSbRh2,0.0
668,TbH2,0.0
669,Y3Ge4,0.0
670,CuPO4F.2,0.0
671,NaI,6.0
672,RbCdB3O6,4.2
673,Ba3Dy2P4S16,3.28
674,LiTi11O20,0.0
675,Ce2YbCuS5,1.37
676,ZnIn2S4,2.9
677,Zn3Cu10(TeO6)6.1,0.0
678,TlInS2,2.3
679,Pb0.7Ge0.3Te,0.48
680,La3Mg0.5SnS14,1.71
681,Pb0.99Te0.99Ge0.01S0.01,0.32
682,TmCoSi2,0.0
683,Cs2Ba3P4O14,6.31
684,AsBr3,2.6
685,CsPbPO4,4.39
686,BeSiOs2,0.0
687,CdGa2Se4,2.41
688,Li3Cu4O4,0.0
689,In3Bi7(Pb2S9)2.11,0.0
690,Cs2Hg3I8,2.56
691,Ga3Pt2,0.0
692,TlInSe2,1.19
693,Na2KSb,1.0
694,ZnTe,2.35
695,AgSbS2,1.88
696,Rb5BS4O16,3.99
697,KI,6.08
698,YbGa8Co2,0.0
699,CdGeAs2,1.1
700,VFeSb,0.46
701,TbNiGe2,0.0
702,YbB2Rh3,0.0
703,ThSi,0.0
704,Li2Ni3O6,0.0
705,CaSnO3,4.4
706,SbI3,2.49
707,HfSi,0.0
708,In0.97As0.97Cd0.03Te0.03,0.71
709,Ta22Cu3S36,0.0
710,Na2LiTa,0.0
711,GaTc,1.42
712,LaSi2Ru,0.0
713,UGeRh,0.0
714,Gd3ReO7,0.0
715,CeSi2Au2,0.0
716,UAl8Fe4,0.0
717,MnO2,1.3
718,YbS,1.33
719,SrGa2Au2,0.0
720,Li3Bi,0.7
721,Mg2TcO4,0.0
722,Li3CrO4,0.0
723,MoO3,3.66
724,Be2W,0.0
725,BePd2,0.0
726,Li2ZnSnS4,2.87
727,CsKP2Se8,2.36
728,Th3B2C3,0.0
729,V2O5,2.36
730,BaAg2,0.0
731,ErAl9(Fe2Si3)2.137,0.0
732,Co2Ge,0.0
733,Al2Te3,2.5
734,TlTaS3,0.78
735,Hg0.4Cd0.6Se,0.7
736,NaF,10.5
737,CdI2,3.8
738,EuCu9Sn4,0.0
739,SrRu2O6,0.0
740,LaSi2,0.19
741,CeSi2Pt,0.0
742,PbTe,0.34
743,CeMgAg2,0.0
744,YbBaSn3,0.0
745,Ti2NiH,0.0
746,Cu0.2Ga1.8S2.8,2.65
747,GaBi,0.1
748,HfS3,3.1
749,LiNi2(PO4)3.15,0.0
750,Sr2GeN2,0.0
751,Tl3Cr,0.0
752,Tl8Os8O27,0.0
753,RbInS2,3.3
754,In0.8As0.8Ga0.2P0.2,0.85
755,Pb0.85Se0.85Ge0.15S0.15,0.34
756,CdSiAs2,1.51
757,WSe2,1.49
758,MnNiP,0.0
759,GdScS3,2.1
760,KAg2PS4,3.02
761,Ce9SmO20,0.0
762,Pb0.95Mn0.05Te,0.37
763,As2S3,2.45
764,AgInTe2,0.93
765,Bi2O3,2.85
766,Nb2Cr4Si5,0.0
767,MnP4,0.28
768,Ba2ZnSe3,2.75
769,GaN,3.25
770,Cu2ZnSiS4,3.25
771,Ga0.01Sb0.01Cd0.99Te0.99,1.35
772,CuGaS2,2.5
773,Cs2Cd3Te4,2.48
774,Cr4As3,0.0
775,Rb2CdP2Se6,2.58
776,Sc3Fe2Si3,0.0
777,CuCl,3.2
778,SmB66,0.8
779,Ti2B,0.0
780,CdGeAs2,0.72
781,InP,1.42
782,YCdPt2,0.0
783,Ga0.99Sb0.99Hg0.01Te0.01,0.72
784,Ag2O,1.57
785,Na2S,2.4
786,SmTe,0.62
787,SnS,1.42
788,KI,6.2
789,CeAsPd,0.0
790,LaGeI,0.0
791,Zn0.7S0.7Ga0.3P0.3,2.4
792,Hg0.99Cd0.01Se,1.72
793,CuGa3Te5,1.09
794,ScSi3Ni,0.0
795,Zr3Ag,0.0
796,Sm2In,0.0
797,PdPSe,0.15
798,Rb2CdBr2I2,3.35
799,K2Cu2Sn2Se6,1.04
800,Gd2ZrS5,1.88
801,TlCr5S4Se4,0.85
802,TlBr,2.63
803,Te2MoWS2.164,0.0
804,LaS1.86Se0.14,2.5
805,Yb23Mg4Cu7,0.0
806,Mn3NbO8,0.0
807,NaBi3,0.0
808,Na2Ti3O7,3.51
809,LuIr2,0.0
810,TlSbSe2,0.82
811,UP2S9,1.41
812,NaCdO3,0.0
813,In4Te3,0.57
814,SnO2,3.6
815,Ce3MoO7,2.0
816,HgBrCl,3.4
817,GeS2,3.43
818,Li4.5Fe0.5TeO6,3.25
819,PrBPt4,0.0
820,Gd2Mn4S7,1.44
821,Rb2CuNbS4,2.64
822,TbAl8Fe4,0.0
823,ZnSe,2.82
824,EuAs2Pd2,0.0
825,In6Se7,0.34
826,Cs3Sb,1.6
827,GaTc2W,0.0
828,K2Hg3S1.03Se2.97,2.11
829,SbSeBr,1.87
830,Cu0.05Ga1.95S2.95,2.7
831,SrPbO3,1.78
832,Sr2HoRuO6.14,0.0
833,Hg3C,0.0
834,CaPd3C,0.0
835,YB2C,0.0
836,Ag2O,1.59
837,Rb2Sn3Sb2S10,2.33
838,TlNi,0.0
839,Dy2Te3,0.69
840,Ce2S2O,0.0
841,BaHgSe2,1.56
842,Ag2SnSe3,0.84
843,Nd2CdIn,0.0
844,Ba3Nb2Se9,1.3
845,ZnO,3.35
846,Cu0.3Ga1.7S2.7,2.6
847,CdTe,1.65
848,EuTm2Se4,1.8
849,Tm2ZnOs,0.0
850,NdSbPd,0.0
851,BiSeBr,1.54
852,TbBa2IrO6.225,0.0
853,TbRh2,0.0
854,TlAsS2,2.15
855,V2O5,2.34
856,CdP4,0.9
857,K2Hg3Sn2S8,2.5
858,CrSb2,0.14
859,ErHg2,0.0
860,Ga2S3,2.84
861,PrSbPt,0.0
862,Hf2ReRh,0.0
863,Cs2PdP2Se6,1.6
864,RbNbSe2O7,4.1
865,La2ZrS5,2.01
866,Hf2Al3C4,0.0
867,TlBr,3.07
868,EuIr4In2Ge4,0.26
869,LiNbO3,3.9
870,TbCo2B2,0.0
871,Li5Cr2Ni5O12.5,0.0
872,Ce2ZnNi2,0.0
873,Cu6PbO8,0.0
874,Sc3BPb,0.0
875,V2O5,2.49
876,GaS,2.58
877,TlSe,0.8
878,ScTiO3,0.0
879,ScSnPd,0.0
880,Rh0.67Se2,0.7
881,Tl5Te3,0.0
882,Ba14Pd3Ir8O33.5,0.0
883,La2Ni5B4,0.0
884,CeTl3,0.0
885,Tl2Se,0.37
886,Pb0.85Sn0.15Te,0.23
887,FeSi2,0.88
888,BaReH9,3.44
889,PbCl2,3.82
890,NaCeS2,0.0
891,Ba5Ga4Se10,2.2
892,K2HgP2Se6,2.25
893,Li4SrB2O6,6.67
894,CsGeI3,1.6
895,CsCu2AsS3,2.3
896,K3Ga3Ge7S20,3.25
897,CuGa1.6In0.4S3.5,2.15
898,CrAs,0.0
899,InAs,0.46
900,IrS2,0.9
901,K2Cu2ThS4,2.17
902,InAs,0.33
903,Li2HgGeS4,2.46
904,PbS,0.6
905,SnSe,0.95
906,CdTe,1.56
907,Lu2AlTc,0.0
908,HoCd3,0.0
909,Zn0.75Hg0.25Se,1.4
910,NdSmHg2,0.0
911,HgGa2S4,2.84
912,K8N3O,0.0
913,ZnO,3.44
914,ZrTe,0.0
915,GaSb,0.81
916,ZnAs2,0.91
917,Rb2Mo3Se3O16,3.1
918,Ba2B4O9H2,5.12
919,Zn0.99Cd0.01Se,3.6
920,LiPbB9O15,4.75
921,Li4.5Al0.5TeO6,4.9
922,K2ReH9,5.71
923,CdS,2.44
924,DyInPt2,0.0
925,AgFeTe2,0.31
926,ErTlPd,0.0
927,GaVTe2O8,3.0
928,Bi24BO39,2.91
929,LiNbO3,4.0
930,NbIrSn,0.28
931,Zr5Sn4,0.0
932,KCuPO4.61,0.0
933,Ga0.4As0.4Zn0.6Se0.6,1.8
934,Dy2MgIn,0.0
935,Ba2SnSe5,1.8
936,As2S3,2.56
937,TbCl,0.0
938,Yb14Ti10O41,0.0
939,AgS,0.85
940,CsInSe2,2.81
941,SrN2,0.0
942,PbBiO2Br,2.47
