task_id,composition,band_gap
mp-1215073,Ag12SI,0.4024000000000001
mp-1195193,Ag12Sn7H16(Se11N2)2,0.2259000000000002
mp-686119,Ag13(BiI4)14,0.0
mp-676840,Ag13(PbO3)6,0.0
mp-1199256,Ag13As3(IO3)4,0.3092999999999999
mp-685283,Ag13Bi15I64,0.0
mp-510349,Ag13OsO6,0.0
mp-686149,Ag15(BiI4)16,0.0
mp-685512,Ag15Bi7I40,0.0
mp-560328,Ag15P4S16Cl3,1.2258
mp-1215118,Ag16HgAs4S15,1.1099
mp-1205258,Ag2(MoO4)3,0.988
mp-1201221,Ag2(RhS)15,0.0
mp-28729,Ag25(BiO6)3,0.050899999999999945
mp-1182976,Ag2As2O7,0.0
mp-1202196,Ag2As3S6N,0.0
mp-1197575,Ag2AsS2,0.5152000000000001
mp-1080805,Ag2AsS4N,0.0
mp-1183003,Ag2Au3N6Cl17,0.0
mp-554873,Ag2B8O13,3.2651
mp-559071,Ag2Bi2S3Cl2,1.6367999999999996
mp-1229130,Ag2Bi2SeS3,0.3573999999999993
mp-1229134,Ag2BiSb(TeSe)2,0.0799000000000003
mp-1229120,Ag2BiSbSe4,0.08549999999999969
mp-1229125,Ag2BiSbTe4,0.0
mp-862982,Ag2Br3,0.0
mp-556345,Ag2BrNO3,1.8191
mp-1197559,Ag2C4Br3N,0.02590000000000004
mp-1199990,Ag2C4I3N,1.0808
mp-574486,Ag2CN2,0.9996999999999998
mp-4691,Ag2CO3,0.4668000000000001
mp-680067,Ag2CSNClO4,2.5329
mp-864635,Ag2Cl3,0.0
mp-1391,Ag2F,0.0
mp-861945,Ag2F3,0.0
mp-542298,Ag2F5,0.0
mp-1196546,Ag2Ge(S2O7)3,2.8072
mp-554988,Ag2Ge2O5,0.7531000000000001
mp-983589,Ag2GeO3,0.21130000000000004
mp-755127,Ag2GeO4,0.0
mp-861942,Ag2GePbS4,1.4887000000000006
mp-567645,Ag2H12C6N3Cl,3.4853
mp-723002,Ag2H12S(NO)4,2.9412000000000003
mp-778019,Ag2H16O9,2.2358
mp-686742,Ag2H21N7(ClO4)2,0.0
mp-1196868,Ag2H2C2N6O13,1.8169
mp-690687,Ag2H2IOF,1.456
mp-555477,Ag2H3IO6,0.6966000000000001
mp-860963,Ag2H4(SO4)3,2.8882
mp-1215002,Ag2H8C2S2N5ClO3,2.4567
mp-1229093,Ag2Hg,0.0
mp-558763,Ag2Hg(SeO3)2,1.8132
mp-553949,Ag2Hg2(TeO4)3,0.13640000000000008
mp-770023,Ag2Hg3,0.0
mp-759790,Ag2Hg5,0.0
mp-23592,Ag2Hg7(As2I3)2,0.6387999999999998
mp-571425,Ag2Hg7(P4Br3)2,0.7686999999999999
mp-672339,Ag2Hg7(P4I3)2,0.7439
mp-1095946,Ag2HgAu,0.0
mp-29816,Ag2HgO2,0.40180000000000016
mp-9635,Ag2HgS2,0.4139000000000004
mp-556866,Ag2HgSI2,1.2212000000000005
mp-557396,Ag2INO3,1.7932
mp-1079032,Ag2IO6,0.0
mp-1079461,Ag2IOF,0.04780000000000007
mp-1203404,Ag2Mo(I2O7)2,1.9923000000000008
mp-504777,Ag2Mo2O7,1.9011
mp-566624,Ag2Mo3SeO12,1.676
mp-19318,Ag2MoO4,1.8721
mp-557303,Ag2NClO3,1.7053000000000005
mp-546190,Ag2O3,0.33609999999999995
mp-1195759,Ag2P2H2O7,2.1813
mp-557644,Ag2P2PbO7,2.4212
mp-1190325,Ag2P2PdO7,1.1196000000000002
mp-707138,Ag2PHO4,1.3238
mp-558151,Ag2PO3F,1.0774
mp-558469,Ag2PS3,1.7759000000000005
mp-13956,Ag2PSe3,0.8588
mp-667327,Ag2Pb8Cl4O7,2.0909999999999997
mp-1229102,Ag2PbI4,0.9009999999999998
mp-20210,Ag2PbO2,1.3770000000000002
mp-1195817,Ag2Pd(NO2)4,1.8591
mp-1096329,Ag2PdAu,0.0
mp-28557,Ag2PdCl4,1.1217
mp-1182977,Ag2S(NO)2,0.03329999999999988
mp-1192057,Ag2S2O7,2.3498
mp-30982,Ag2SO3,2.2506
mp-5625,Ag2SO4,1.3907
mp-568936,Ag2Se,0.0
mp-16913,Ag2SeO3,1.7004
mp-11641,Ag2SeO4,0.5841
mp-1197599,Ag2Sn(S2O7)3,2.4602000000000004
mp-1229127,Ag2SnBiS4,0.0
mp-1229140,Ag2SnBiSe4,0.0
mp-10963,Ag2SnHgSe4,0.0008000000000001339
mp-680202,Ag2SnO3,0.0
mp-1592,Ag2Te,0.0
mp-1193238,Ag2Te(H2O3)2,0.7401
mp-13211,Ag2Te2O7,0.0
mp-1190916,Ag2Te3Mo3O16,2.1233000000000004
mp-1197464,Ag2Te4MoO12,2.1124000000000005
mp-561380,Ag2Te4O11,1.1402
mp-18068,Ag2TeO3,1.6253000000000002
mp-558768,Ag2TeO4,0.00010000000000021103
mp-29163,Ag2TeS3,1.2999
mp-32537,Ag2W2O7,1.9576
mp-504466,Ag2WO4,2.0499
mp-990091,Ag2WS4,0.8692999999999997
mp-35320,Ag3(AsO4)2,0.0
mp-685586,Ag3(Bi2Br3)7,0.014299999999999981
mp-36383,Ag3(PO4)2,0.0
mp-1229256,Ag32Te20As3,0.0
mp-674968,Ag33(PbO3)14,0.0
mp-1183193,Ag3As,0.0
mp-9538,Ag3AsS4,0.3498999999999999
mp-1183214,Ag3Au,0.0
mp-34460,Ag3AuS2,1.5412
mp-3172,Ag3AuSe2,0.02610000000000001
mp-1229183,Ag3AuSeS,0.09190000000000033
mp-1194638,Ag3B5O9,1.7951999999999997
mp-561550,Ag3BO3,0.8717000000000001
mp-1229111,Ag3Bi,0.0
mp-1229165,Ag3Bi7S12,0.9070999999999998
mp-1214935,Ag3Bi8S13,0.0
mp-1120715,Ag3BiBr6,0.224
mp-505145,Ag3BiO3,1.5250000000000004
mp-1183272,Ag3Br,0.0
mp-1229212,Ag3C(NO2)3,2.5441000000000003
mp-1214975,Ag3C2(NO3)2,0.0
mp-562248,Ag3CS(NO2)3,2.0935
mp-1183265,Ag3Cl,0.0
mp-1183244,Ag3F,0.0
mp-562412,Ag3F8,0.3233999999999999
mp-1229108,Ag3Ge,0.0
mp-17862,Ag3Ge5P6,0.5381
mp-695941,Ag3H13SeN4O5,1.9349
mp-1215046,Ag3HSN3O2,0.0
mp-1183250,Ag3Hg,0.0
mp-653562,Ag3I(NO3)2,0.0
mp-776370,Ag3IrO4,0.0
mp-1214986,Ag3Mo3AsO13,1.7754
mp-985299,Ag3N,0.0
mp-562667,Ag3N5O6,2.1573
mp-27819,Ag3O,0.0
mp-1605,Ag3O4,0.0
mp-985295,Ag3P,0.0
mp-27821,Ag3P11,0.8255999999999997
mp-1197801,Ag3P2N(O3F)2,0.0
mp-1214993,Ag3P3HO9,0.0
mp-1199654,Ag3P3O10,0.08089999999999997
mp-695967,Ag3P6H12N3O19,0.0
mp-1229128,Ag3PO4,0.3353000000000001
mp-12459,Ag3PS4,0.9914
mp-30908,Ag3PSe4,0.1682999999999999
mp-1215074,Ag3Pd13Pb6,0.0
mp-12065,Ag3Pt,0.0
mp-1183225,Ag3Rh,0.0
mp-1183261,Ag3Ru,0.0
mp-1183254,Ag3S,0.0
mp-1182998,Ag3S(NO)3,0.0
mp-1201018,Ag3S4(O3F)4,0.08479999999999999
mp-36600,Ag3SBr,0.3943000000000001
mp-22995,Ag3SI,0.5324999999999998
mp-1215087,Ag3SI3,0.3371999999999993
mp-556747,Ag3SNO3,1.0637000000000003
mp-1183032,Ag3SNO4,0.0
mp-16240,Ag3Sb,0.0
mp-1195261,Ag3Sb4F24,0.0
mp-1202934,Ag3SbO4,0.02629999999999999
mp-1214902,Ag3SbTe4,0.0
mp-1215084,Ag3SbTe6,0.16339999999999932
mp-1183249,Ag3Se,0.0
mp-6476,Ag3SeNO3,0.5563
mp-611,Ag3Sn,0.0
mp-17568,Ag3Sn2(GeP2)3,0.24489999999999945
mp-29849,Ag3SnP7,0.5080999999999998
mp-1215111,Ag3Te(AsO7)2,0.0
mp-1215032,Ag3Te(PO7)2,0.0
mp-5710,Ag3Te2Au,0.1767000000000003
mp-1229219,Ag3Te32Au13,0.05959999999999965
mp-684006,Ag3TeIO4,0.1964999999999999
mp-1183177,Ag3W,0.0
mp-675633,Ag4AuS2,0.0
mp-28996,Ag4Bi2O5,1.6389000000000005
mp-560342,Ag4GeO4,0.0
mp-1229155,Ag4Hg4S4BrCl3,1.0404
mp-542199,Ag4HgGe2S7,0.4522
mp-579107,Ag4Mo2Se3O16,1.6559
mp-27482,Ag4P2S7,1.6476000000000002
mp-553924,Ag4PIO4,0.6932
mp-560947,Ag4S(NO)2,0.6701999999999999
mp-685999,Ag4SI,0.0
mp-556570,Ag4Se(IO2)2,0.7545000000000002
mp-1229187,Ag4Sn2(HgSe3)3,0.04960000000000009
mp-1195808,Ag4Sn3S8,0.22440000000000013
mp-738646,Ag4Te(ClO3)2,0.0
mp-618375,Ag4Te(NO3)2,0.0
mp-1182984,Ag4Te(PO7)2,0.049700000000000084
mp-554357,Ag4TeO5,0.0041999999999999815
mp-1199607,Ag4TeSO4,0.6736
mp-22286,Ag5(PbO3)2,0.0
mp-530464,Ag5(Sn3S8)2,0.0
mp-1229225,Ag5BS4,0.0
mp-28812,Ag5BiO4,1.459
mp-29536,Ag5CF4,1.9277
mp-5563,Ag5GeO4,0.6784999999999999
mp-568540,Ag5Hg4P8Cl5,0.977
mp-1194068,Ag5HgSbO6,0.0045000000000001705
mp-559847,Ag5P(S2Cl)2,1.2617999999999996
mp-1191916,Ag5PSeO4,0.3362999999999996
mp-1229311,Ag5Sb23(PbS4)12,0.0
mp-4004,Ag5SbS4,0.5920000000000001
mp-1215016,Ag5Te2Br,0.1938999999999997
mp-573465,Ag5Te2Cl,0.9584
mp-1191803,Ag5TePO4,0.5011000000000001
mp-1229181,Ag6Au2Se3S,0.03460000000000018
mp-1214970,Ag6Ge(S2Br)2,0.5507000000000002
mp-1214971,Ag6Ge(S2Cl)2,0.6021999999999998
mp-15487,Ag6Ge2O7,0.009700000000000042
mp-558786,Ag6GeSO8,0.0
mp-1229218,Ag6Hg(P10I)2,1.0281000000000002
mp-1229209,Ag6HgGeSe6,0.008099999999999996
mp-1229201,Ag6HgNO11,0.0
mp-504579,Ag6Mo10O33,1.9973
mp-566886,Ag6Mo2ClO7F3,1.5595
mp-1229161,Ag6P6O19,0.0
mp-1229145,Ag6SbAsS6,1.346
mp-1197642,Ag6Sn3(S5N)2,0.04059999999999997
mp-1229118,Ag6SnSb,0.0
mp-1204185,Ag6Te4W3O20,2.504900000000001
mp-531125,Ag7(PbO3)3,0.04939999999999989
mp-675987,Ag7(SI)2,0.0
mp-696470,Ag7NO6,0.0
mp-690667,Ag7NO8,0.0
mp-683910,Ag7P3S11,1.3805999999999998
mp-1197032,Ag7PS6,0.9064
mp-8594,Ag7PSe6,0.4411999999999998
mp-766328,Ag7Sb9O25,0.3775000000000004
mp-28228,Ag7Te4,0.0
mp-679950,Ag8Ge3O10,0.08620000000000005
mp-18474,Ag8GeSe6,0.0
mp-685969,Ag8GeTe6,0.0387000000000004
mp-1215006,Ag8Hg(AsO5)2,0.0
mp-28963,Ag8S,0.0
mp-1229180,Ag8Sb5As3S16,1.0169999999999997
mp-15645,Ag8SnS6,0.5350999999999999
mp-651048,Ag9(BiO3)2,0.5562
mp-675327,Ag9(PbO3)4,0.0
mp-676430,Ag9(SI)4,0.0
mp-561034,Ag9Ge2IO8,0.0
mp-1229182,Ag9Ge2NO11,0.07610000000000006
mp-1195618,Ag9P14(OF)28,0.04720000000000002
mp-676260,Ag9Te4Br3,0.0
mp-1183178,AgAs,0.0
mp-556837,AgAs(S8F3)2,2.7366
mp-1191037,AgAs(SeF2)3,1.6566999999999998
mp-557631,AgAs(XeF5)2,1.4322
mp-985701,AgAs3H2O9,0.8247
mp-554710,AgAsC4S8(N2F3)2,2.6151
mp-37153,AgAsF6,1.6806
mp-4807,AgAsF7,0.0
mp-997022,AgAsO2,2.3735
mp-1178563,AgAsO3,0.2826
mp-22665,AgAsPbS3,1.3834
mp-631567,AgAsRu2,0.0
mp-984714,AgAsS,0.5333000000000001
mp-1196797,AgAsS16N16(O4F3)2,1.8435
mp-649756,AgAsS6N4(OF3)2,1.8583
mp-985442,AgAsSe,0.24490000000000034
mp-1229092,AgAu,0.0
mp-1229194,AgAu(IO3)4,1.2449
mp-570340,AgAuCl4,0.8005
mp-16060,AgAuF4,1.0606
mp-1196161,AgAuF7,0.3450000000000002
mp-996983,AgAuO2,0.9044000000000004
mp-776165,AgAuO3,0.2423000000000001
mp-37920,AgAuS2,0.21299999999999966
mp-10413,AgB(CN)4,4.2761
mp-738633,AgB10H26C6N,3.8864
mp-1204520,AgB10P2H40C15NCl2O3,1.9977
mp-703539,AgB11H6CBr6,3.2973
mp-12062,AgB2,0.0
mp-1194753,AgB3O5,2.3334
mp-12021,AgBF4,3.3403
mp-5160,AgBF5,0.0
mp-24058,AgBH2OF4,3.044
mp-759882,AgBH8C4(N2F)4,3.7801
mp-1215142,AgBHC12(NF2)9,3.4749
mp-559803,AgBO2,1.1604
mp-780275,AgBO3,0.0
mp-559834,AgBTe4C(OF4)5,2.5132000000000003
mp-557494,AgBTe4C2(O3F10)2,2.8863000000000003
mp-1195262,AgBi(IO3)4,2.4069000000000003
mp-556434,AgBi(PS3)2,1.1797000000000004
mp-569126,AgBi(PSe3)2,1.2778
mp-1192345,AgBi(WO4)2,2.9972000000000003
mp-28965,AgBi2F12,0.39680000000000026
mp-558368,AgBi2S3Cl,0.7821000000000007
mp-569939,AgBi2Se3Cl,0.5499999999999998
mp-1229202,AgBi3PbS6,0.6500000000000004
mp-23474,AgBi3S5,0.5219999999999994
mp-35909,AgBiI4,0.9912
mp-996969,AgBiO2,1.4174000000000002
mp-775774,AgBiO3,0.0
mp-1229121,AgBiPbS3,0.08429999999999982
mp-1183166,AgBiPd2,0.0
mp-556094,AgBiSCl2,1.0686999999999998
mp-1229089,AgBiSeS,0.0
mp-29656,AgBiTe2,0.13320000000000046
mp-1229113,AgBiTe3Pb,0.0
mp-1229083,AgBiTeSe,0.0
mp-1096805,AgBrO2,0.7656000000000001
mp-1178562,AgBrO3,2.3843
mp-756139,AgBrO4,0.6304000000000001
mp-1008653,AgC,0.0
mp-567459,AgC2N3,3.7313
mp-1215161,AgC2S2N4Cl,0.0
mp-650510,AgC3N3O,1.5118
mp-1183029,AgC3N3O2,2.3561
mp-1214977,AgC4(BrO)2,2.5342
mp-29672,AgC4N3,3.4675
mp-1189890,AgC4NCl2,0.015099999999999891
mp-561205,AgC4OF9,2.3671
mp-1214982,AgC6,0.0
mp-9519,AgCN,3.6446
mp-560460,AgCN3O2,2.4484000000000004
mp-6781,AgCNO,3.0511
mp-5282,AgCO2,2.3379000000000003
mp-753176,AgCO3,0.0
mp-1200256,AgCS2(O2F)3,3.2978
mp-562550,AgCSN,2.2797
mp-996984,AgClO2,0.5683
mp-775761,AgClO3,2.925
mp-22993,AgClO4,2.6059
mp-7715,AgF2,0.0
mp-18536,AgF3,0.14480000000000004
mp-1183245,AgGe3,0.0
mp-1096274,AgGeAu2,0.0
mp-1229030,AgGeBiTe3,0.0
mp-1096804,AgH,0.8529999999999998
mp-1204384,AgH10S8N8ClO6,0.20210000000000009
mp-560182,AgH11C4(SO)3,3.4244
mp-1196463,AgH12C4S2N5O3,2.8863
mp-698405,AgH12C4S5N,1.8217
mp-1200633,AgH12C4Se5N,1.1115
mp-560619,AgH12C6N5O3,2.8931
mp-1200476,AgH14C3S3N6ClO,2.9655
mp-1199390,AgH20S6N5O9,3.2328
mp-1202475,AgH24C9S3N6ClO4,3.2789
mp-1205035,AgH28S8Br2(N3O4)3,0.0
mp-707277,AgH2C2N3O,3.2954
mp-1215075,AgH2C7O3F5,2.821
mp-24053,AgH2ClO5,2.8242
mp-697268,AgH2SNO3,2.8033
mp-1205047,AgH36C15S3N6Cl,3.46
mp-849798,AgH36S8Br2(N3O4)3,3.1716
mp-1196199,AgH36S8I2(N3O4)3,3.1391
mp-1200371,AgH36S8N11O18,2.3642000000000003
mp-1102571,AgH3BrN,2.46
mp-707364,AgH3CN3O4,0.8278
mp-769355,AgH3O2,1.0711
mp-1201812,AgH4CSN2Cl,2.6033
mp-643431,AgH4WS4N,1.7101
mp-24072,AgH5S2O9,3.5225000000000004
mp-1202721,AgH6C2N5O4,1.9749
mp-698351,AgH6C4(NO)2,2.3857
mp-1204011,AgH7CN8O7,2.273
mp-1205234,AgH8C3S2ClO4,3.4561
mp-1200006,AgH8C3S2NO3,2.8782
mp-759408,AgH8C4N8F,3.8125
mp-605808,AgH8C4S3(OF)3,3.4096
mp-559423,AgH8C5S2O2F3,3.2201
mp-605676,AgH8C7S2O2F7,3.1657
mp-769295,AgH8O5,0.29179999999999995
mp-555250,AgH9C7S2(OF)4,3.1297
mp-769296,AgH9O5,2.0934
mp-996958,AgHO2,0.0
mp-758433,AgHg,0.0
mp-558188,AgHg2AsO4,0.7385999999999999
mp-560443,AgHg2NO5,0.5517
mp-556798,AgHg2PO4,1.1862999999999997
mp-1183210,AgHg3,0.0
mp-567890,AgHg3As2Cl3,0.9148
mp-12362,AgHg3SbO6,0.7092999999999998
mp-1229053,AgHgAsO4,0.0
mp-6215,AgHgAsS3,1.1980000000000004
mp-997000,AgHgO2,0.0
mp-861501,AgHgPd2,0.0
mp-560067,AgHgSBr,1.2604
mp-23140,AgHgSI,1.3584
mp-33154,AgI2,0.024599999999999955
mp-1194592,AgI3O8,2.2958
mp-1214931,AgIO2,0.0
mp-27384,AgIO3,2.4375
mp-30037,AgIO4,0.0964999999999998
mp-1183229,AgIr,0.0
mp-662534,AgIrF7,0.0
mp-1229112,AgMo12PbS16,0.0
mp-19467,AgMo3P3O16,1.5694
mp-603983,AgMo4H22C8(NO5)3,2.1441
mp-1229066,AgMo6(SeS)4,0.0
mp-680482,AgMo6Br13,2.0137
mp-1214988,AgMo6Cl13,2.2856
mp-1229143,AgMoAsO6,2.05
mp-1103149,AgMoH4S4N,1.3130000000000002
mp-1214906,AgMoO4,0.0
mp-19569,AgMoPO6,2.0962
mp-1056955,AgN,0.0
mp-644729,AgN3O4,1.9626
mp-996960,AgNO2,1.4209999999999998
mp-552185,AgNO3,1.8539
mp-1214946,AgO2,0.0
mp-997101,AgO2F,0.0
mp-1189095,AgP(NO)2,1.1185
mp-1194585,AgP(OF)2,1.9544
mp-554766,AgP(XeF5)2,1.3216
mp-8200,AgP2,0.6555
mp-1183028,AgP2H8SN7O2,3.4466
mp-34418,AgPF6,3.236
mp-1201487,AgPHNO2,2.1804
mp-18702,AgPO3,2.0246000000000004
mvc-9679,AgPO4,0.0006999999999999992
mp-1078079,AgPPd5,0.0
mp-1025385,AgPPt5,0.0
mp-5470,AgPS3,1.3119999999999998
mp-621612,AgPb2Br5,1.9374
mp-1229269,AgPb2Cl3OF,0.0
mp-1183256,AgPb3,0.0
mp-560923,AgPb4ClO4,2.4101000000000004
mp-559470,AgPbBrO,0.5365999999999997
mp-1206101,AgPbF6,0.15200000000000016
mp-997019,AgPbO2,0.0230999999999999
mp-1178556,AgPbO3,0.0
mp-1229012,AgPd,0.0
mp-1229031,AgPd2Au,0.0
mp-1097539,AgPd2Pb,0.0
mp-1200271,AgPd3Se,0.0
mp-1183167,AgPdAu2,0.0
mp-31215,AgPdF6,0.2169000000000001
mp-776166,AgPdO3,0.0
mp-1229015,AgPt,0.0
mp-1229032,AgPt4,0.0
mp-1214922,AgPtF6,0.0
mp-997006,AgPtO2,0.3843000000000001
mp-1183233,AgRh,0.0
mp-1214934,AgRhF6,0.0
mp-1018033,AgRhO2,0.7869999999999999
mp-17588,AgRuF7,0.0
