,composition,Tc
392,Y1Ba2Cu2.91Zn0.09O6.95,56.0
393,Ce1Ru1.97Co0.03,3.5
394,Mo0.1Ti0.9,3.25
395,Pr0.89La1Ce0.11Cu1O4,24.6
396,K0.8Fe1.979Mn0.021Se2,31.0
397,V0.75Ge0.1875Al0.0625,11.4
399,Fe1Sr2Y1Cu2O7.66,43.5
400,Tl2Ba2Ca0.9Ce0.1Cu2O8,100.0
402,Au0.988Pd0.012Ga2,1.25
403,Y1Ba2Cu2.95Zn0.05O6.63,25.0
404,Pd1Te1,3.01
407,Nb0.9Ti0.1,9.61
408,Ca0.8La0.2Fe0.9558Co0.0442As2,35.1
409,Sr15.9Ca7.6Cu17.6C3.3B2.6O53,105.0
410,Y1Ba1Sr1Cu3O6.9,92.0
411,La1Fe0.9Rh0.1As1O1,14.0
412,Ba1Ti2Sb1.6Bi0.4O1,3.47
415,Nd0.9Pr0.1Ba2Cu3O6.75,35.9
416,Ag0.1Tl0.9,3.57
417,Ga22Nb78,15.6
419,Mo0.98Nb0.02Ga4,8.0
421,Pt1Sb1,2.1
422,Li0.33V2O5,8.5
423,Ta0.85W0.15,1.95
424,In0.8Tl0.2,3.2230000000000003
425,Ti0.588V0.392Fe0.02,6.79
428,La1.72Nd0.2Ba0.08Cu1O4,16.9
430,Gd0.71Pr1.14Ce0.15Cu1O4,8.1
432,Cu2Mo6S6O2,9.0
433,La1.6Er0.4Ba2Ca0.8Cu4.8O11.424,76.0
434,In0.25Tl0.75,3.64
435,Bi4.4Sr3.6Ca2Cu4OY,83.6
436,Lu0.92La0.08Ni2B2C1,13.6
437,Bi1.5Pb0.5Sr1.7La0.3Cu1O5.993,15.6
438,Hf0.33Nb0.33V0.33,6.6
439,Nd1Ba2Cu3O6.67,29.0
440,La0.85Ca0.15Nd1Cu1O4,23.0
441,Lu4.5Tm0.5Ir4Si10,2.84
445,Sr11Ca10Cu24O41,3.0
446,La0.85Ce0.15Ru2,2.444
448,Nb2.895W0.105Al1,16.0
450,Zr1Ru0.95Rh0.05P1,6.15
454,C0.97Ta1,11.84
455,Nb0.94Ta0.06,8.76
461,Tl0.5Pb0.5Sr2Ca0.8Y0.2Cu2O7,105.2
462,Mg0.996Cu0.004B2,38.11
463,La1.5Nd0.5Ca1Ba2Cu4.95Mo0.05O11.345,76.0
467,B1I3,1.86
468,Nb79.5Sn2.1Al6.1Ge12.3,9.4
470,Y0.6Pr0.4Ba2Cu3O6.85,27.8
471,Bi0.07Pb0.93,7.7
472,Nb0.26U0.74,1.85
473,Pd1Zr3,2.96
475,Y0.6Ca0.4Ba1.6La0.4Cu3O6.95,82.0
476,Hg1Tl1Ba2Ca3Cu4O12,110.0
477,Y1Ba2Cu2.8Fe0.2O6.85,57.7
479,Er0.9Tb0.1Ni2B2C1,8.52
480,Fe2As2Ca5Al1.5Ti1.5O9,15.0
481,Ga1N1,2.925
482,B5Nb1.8Zr0.2,5.9
484,Sm1Fe1As0.47P0.53H0.09O0.91,10.5
486,Lu5Ir4Si8Ge2,6.6
487,Y0.7Ca0.3Sr1.5Ba0.5Cu2.8Cr0.2O7,41.0
488,Y0.6Pr0.4Ba2Cu3O6.929,45.05
492,Er1Sr2Cu2.85Re0.15OY,47.0
493,Sr1Si1.9Ni0.1,2.3
494,La1.85Sr0.15Cu0.9Mg0.1O4,29.6
496,Bi2Sr1.9La0.1Ca1Cu2OY,85.04
497,Hg0.9W0.1Ba2Cu1O4.2,89.0
499,Sb1.16S5.16Ta2,3.0
500,Sr1.5Ba0.5Y1Cu2.8Ga0.2O6.96,32.0
501,Nd0.1La1.7Sr0.2Cu1O4,35.0
502,La0.95Ce0.05Ru4P12,6.8
507,Al0.22La0.78,4.3
508,Mg0.55Al0.225Li0.225B2,25.6
509,Ru0.97Co0.03Sr2Gd1CuO8,13.0
510,Nb0.75Al0.185Ge0.065,20.26
511,Sm1Ba2Cu2.9Zn0.1O6.83,29.0
512,Ce1Pt0.2Ru1.8,3.4
513,Y0.9Ca0.1Ba1.6Sr0.4Cu4O7.8,85.5
514,Sm1Fe0.94Ni0.06As1O1,9.0
515,Y0.95K0.05Ba2Cu3O6.6,89.4
516,Tl0.5Pb0.5Sr2Ca1Cu2.95Zn0.05O7,73.0
517,Ga0.255V0.745,13.9
518,Mg0.85Na0.15B2,38.0
521,Mo1.75Ru1.25B2,3.7
522,Zr1P1.6S0.4,4.36
523,Ca2Cu1Cl2.25O2,31.0
524,Sr2Cu1C0.85B0.15O5,32.0
527,Au0.28Te0.72,1.96
528,Ca1Si2.2,1.37
529,Hg0.97Tl0.03,4.109
531,Pb1.14Ta2S5.14,3.3
532,Y1Ba2Cu2.745Fe0.255O7.08,53.0
533,Na1Fe0.979Co0.021As1,19.4
535,Sm1Fe0.89Ir0.11As1O1,18.3
536,Th1.2Er0.8C3,7.0
537,Er0.03La0.97,4.49
538,Y1Ru1B4,1.38
541,Sm0.9Pr0.1Ba2Cu3O6.75,36.3
542,Ce1Fe1As0.55P0.45F0.05O0.95,15.0
543,Ba0.788K0.212Fe2As2,19.0
544,Y1Ba2Cu2.84Fe0.16O6.959,53.0
546,Y1Ba1.8La0.2Cu4O8,44.0
547,Y1Ba1.9Sr0.1Cu4O7.9,78.0
549,Pd2Se1,2.2
550,Rh0.06Zr0.94,5.8666666670000005
551,Ce1Fe1As1H0.065O0.935,41.1
553,Ir2Zr1,4.1
556,La1Ni1B1N1,1.96
557,Ce1Co1In4.94Sn0.06,1.565
558,Y1Pd2Pb1,4.13
561,Ca10Pt4.6Fe9.4As18,22.5
562,Li0.99Fe1.01As1,14.0
563,Nb2Pd0.67Se5,1.2
564,Bi2K1,3.575
565,Dy1Ba2Cu2.94Zn0.06O6.9,62.0
568,Lu1Ni1B0.8C1,2.6
573,B2.34Nb1,9.16
574,Co7.32Ga25V67.68,5.03
576,Hf1V2H0.4,8.42
577,La1.5Nd0.5Ca1Ba2Cu5O11.583,79.0
578,Hg1Ba2Cu1O4.052,82.0
579,Cu0.05V0.95,3.85
582,Fe1Te0.54Se0.45S0.01,13.3
583,C8Rb1Hg1,1.41
585,Ho1Rh3Ru1B4,6.35
586,Y0.9Fe0.1B6,3.3
588,Ir3La7,2.28
589,Mo0.52Re0.48,11.1
590,Mo0.059Zr0.941,4.15
592,N0.92Nb1,16.5
593,Cs0.005W1O3,5.9
597,Fe1.04Se0.33Te0.67,14.1
598,V3Ga0.9Sn0.1,10.7
599,Tm1Ba2Cu3O6.72,64.5
600,Ca0.81Nd0.19Fe1As2,11.0
602,Y1La0.2Ba1.8Cu3O7.49,90.4
603,Sn0.6175Pb0.3325In0.05Te1,1.6
604,Sr0.88La0.12Cu1O1.97,42.4
605,U1Ir2Si2,1.1
607,Bi2Sr1.6Nd0.4Cu1O6.32,23.1
608,Ba1Fe1.8Ni0.2As2,6.4
609,Lu2Ir3Si4.9Ge0.1,7.74
611,Ti1.38V1.62Sb1,1.49
615,Hg0.5In0.5,3.81
616,Mo0.025Ti0.975,1.8
617,V2.7Mn0.3Si1,11.9
619,La3Pr0.3In1,6.2
622,Hg0.8Mo0.2Ba2Cu1O4.4,74.0
623,Ba1Pb0.78Bi0.22O3,10.3
624,Tl0.5Ba2Ca0.3Be1.7Cu3.5O7.685,115.0
627,Ba0.5K0.5Fe1.9Cu0.1As2,22.29
628,Ag0.1In0.9Te1,1.2
633,Hg0.5Bi0.5Sr2Ca2Cu3O8.35,107.0
634,Nb3Sn0.92Al0.08,17.9
636,Ga26.5V73.5,13.6
638,Ba0.65K0.35Fe2As2,38.0
639,Eu1Pt1Si3,3.7
640,Tm1Ir3.6Rh0.4B4,1.48
644,Y0.9Pr0.1Ba2Cu3O6.965,85.0
645,Fe1Te0.57Se0.43,15.0
646,Ce1Bi1S2F0.9O0.1,6.855
647,Y1Ba2Cu2.79Zn0.21O6.97,14.2
649,Cs2Cr3As3,2.025
650,Nd1.7945Y0.0555Ce0.15Cu1O4,19.0
652,Sr2Mg0.3Ti0.7Fe1As1O3,36.7
659,Bi1Pb1Sr2Y0.65Ca0.35Cu2O8,76.0
660,Nb0.95Mo0.05C1,12.1
661,La1.85Sr0.03Ca0.066Ba0.054Cu1O4,24.0
662,Pb0.5Sr2Ca0.5Nd0.5Cu2.5O7,60.0
663,Ca1.9K0.1Cu1Cl2O2,18.0
664,Ba0.47K0.53Bi0.979Pr0.021O3,4.5
665,La1Fe0.8Zn0.2As1F0.15O0.85,25.5
668,C1.45Y0.9Zn0.1,13.0
670,Hf0.36Nb0.62Zr0.02,7.75
671,Sr0.42K0.58Fe2As2,36.0
672,Co35.38Zr64.62,2.67
674,Ce1Rh0.07Co0.93In5,1.89
675,Ho0.3Lu0.7Ni2B2C1,13.3
676,C1.45Cr0.1Y0.9,12.4
677,Al0.75Ge0.25Nb0.003,20.7
678,W5Si1B2,5.8
679,Ca0.4Ba1.15La1.45Cu3O7.12,7.6
681,Y1Ba2.01Cu2.81Ni0.19O6.7,65.0
682,Hg0.5Fe0.5Sr2Y0.6Ca0.4Cu2O6.7,46.0
683,C1Rh1,1.6666666669999999
684,Y1Ba2Cu2.985Zn0.015O6.95,86.0
685,Ni0.011V0.989,3.82
686,Yb3Co4Sn13,2.5
687,La1Ba1.75Ca0.25Cu3O6.951,80.0
689,Bi2Sr2Ca1Cu2I0.69O8.242,53.1
690,As0.15Nb3Sn0.7Tl0.15,17.98
692,Mo0.202Zr0.798,5.25
693,Y1Sr0.4Ba1.6Cu2.5B0.5O7,35.0
694,Ta0.6Mo0.4C1,8.67
696,Nb0.1Ti0.9N0.98,6.48
697,Ba1Fe1.75Co0.25As2,22.0
698,Fe2As2Sr4Mg0.4Ti1.6O6,28.0
699,Y1Ba2Cu2.95Fe0.05O6.6,26.2
702,Tl1Sr2Ca1Cu2O6.85,24.0
703,Sr1Pt2.1Pd0.9P1,5.78
704,Li2Mo15Se19,2.6
705,Nd1.83Ce0.17Cu1O4,12.8
706,Lu0.9Gd0.1Ru1B2,6.4
707,Bi1.6Pb0.4Sr2Cu3Ca2O1013,102.0
708,Nb0.8Pd0.2,1.98
709,Y1Ba1.8La0.2Cu3O6.95,78.0
710,Er5Os4Si15,5.5
711,Cr34.9Ga25V40.1,5.48
712,Y1Ba2Cu2.91Zn0.09O6.83,45.0
713,Y0.9Ca0.1Ba2Cu2.9Co0.1O6.76,57.5
716,Nd1.85Ce0.15Cu0.997Ni0.003O4,15.65
717,La0.99Nd0.01,4.915
718,Yb1Ba1.6Sr0.4Cu3O6.88,80.2
719,La1.8Sr0.2Cu0.65Ni0.35O4,8.0
720,As0.15Nb3Pb0.15Sn0.7,18.05
721,Sn0.057V0.943,1.6
722,Mg4Ni6B2,4.0
723,La1.73Sr0.27Cu0.94Co0.06O4,34.0
724,La1.5Ba1.1Ca0.4Cu3O7.05,55.0
725,Mn0.05Rh0.04Ti0.91,2.4
728,Ca0.1O3W1,1.4
729,Y0.65Pr0.35Ba2Cu3O6.6,21.5
731,Nd1.847Ce0.153Cu1O4,22.5
732,Eu0.6Pr0.4Ba1.5Sr0.5Cu3O6.89,34.0
733,La0.1Ce0.9Ru2,7.194
737,Na0.66Zr1N1Cl1,14.5
738,Fe0.02Te0.85Se0.15,12.7
739,Nd1.4Cu1O4,27.85
740,Ce1Rh0.3Co0.7In5,1.42
741,Al13Os3.2Ru0.8,4.0
742,La1Fe1As1H0.42O0.58,20.3
744,Gd1Ba2Cu3O6.969,91.0
745,La1.5Yb0.5Ba1.5Ca1Cu5O11.785,76.0
746,Y1Ba2Cu2.955Zn0.045O7,70.1
748,Nb2.1Zr0.9Sn1,17.7
749,Bi1.8Pb0.2Sr2Cu1OY,15.2
750,Mo0.85Pt0.15,8.8
751,Hg0.8Nd0.2Ba2Cu1O4.3,77.0
752,Sn1.08Eu0.1Mo6.35S8,10.9
753,La2.9602Gd0.0398In1,6.04
754,Lu1Mo6S8,2.2
757,La1.9Sr0.1Cu0.9925Zn0.0075O4,14.865
763,Ho1Ni1.95Co0.03B2C1,4.51
764,Y1Ba2Cu3F0.825O,90.5
768,Y1Ir1.5Os0.5,2.4
769,La1.775Sr0.225Cu0.995Ni0.005O4,21.0
770,La1.798Nd0.052Ca0.15Cu1O4,31.6
771,Nb0.04Ta0.96,4.47
772,Y0.4Pr0.6Ba1Sr1Cu3O8.9,24.1
775,Sr2Ru1O4,1.290384615
778,La1.05Ca0.15Nd0.8Cu1O4,24.5
781,Hf1Ru1As1,3.193333333
782,Tl1.75Ba2Cu1.2O5.98,26.0
785,C0.96Nb1,9.8
787,La1.8Sr0.2Ca1Cu2O5.98,60.0
788,Fe1Te1,1.5
789,Y5Ir4Ge10,2.76
790,Bi2Sr2Ca1Cu2O8.291,89.1
791,Y0.8Sc0.2Ba2Cu4O8,87.0
795,Y1Ba2Cu2.89Al0.11O7,82.0
796,Ni2Nb1Sn1,3.15
797,Eu0.48K0.52Fe2As2,30.0
798,Eu2.667Ce1.333La1.333Ba1.333Sr1.333Cu6OY,28.5
800,Ba0.5K0.5Fe1.88Zn0.12As2,33.5
802,Bi2Sr1.6Eu0.4Cu1O6.301,12.5
804,Bi1.7Pb0.3Sr2Ca0.8Y0.2Cu1.94Zn0.06O8,54.4
805,Th7Fe1.86Co1.14,1.07
806,Nb2.34Zr0.66Sn1,17.7
808,Ca0.2Ba1.55La1.25Cu3O7.07,46.1
809,Gd0.45Ca0.4Hf0.15Ba2Cu3O7.08,71.9
810,Mg1C0.853B0.072Ni3,6.76
812,Fe1.02Te0.5Se0.1S0.4,8.45
815,Pd0.67Se0.33,2.2
816,Sr3.1Ca5.9Bi0.4Y0.3Pb0.3Cu16.7O29,80.0
817,Hf2Rh1,1.72
818,Ba1Fe1.82Ni0.18As2,14.15
819,Pb1Mo6Se7.55,5.0
821,Al0.5Mo5S6Sn1,14.2
822,Ba1.6Sr0.4Yb0.75Ca0.25Cu3O6.68,74.0
823,Pr1Fe1As1F0.1O0.9,43.5
824,La1.81Sr0.19Cu0.94Ni0.06O4,26.4
825,Ta1S2,1.0429
828,Y1Ba2Cu2.91Ga0.09O7,83.71
829,Al0.27La0.73,3.82
830,Nb0.35Ti0.15Zr0.5,9.3
